Signal Type,Signal Definition,SG Gross Revenue,SG Downloads,Inclusion Reason,Game Title,English Display Title,Original Title,Detected Language,Machine English Title,Manual English Title,Translation Source,Translation Confidence,Translation Review Status,Translation Note,Platform,Publisher,Release Date,Genre,Top 3 Markets,SG App Store Ranks,unified_app_id,run_timestamp_utc,report_start_date,report_end_date,ranking_date,sensor_tower_effective_end_date,meeting_date,report_classification,steamdb_peak,steamdb_reviews,steam_url,release_date_source_url,source_urls
Strong Market Signal,Game-layer final report row.,180003.03,8613,unconfirmed unconfirmed,hololive Dreams,hololive Dreams,hololive Dreams,,,,,,,,"mobile, PC",CyberAgent,2026-07-09,,"Top Mkts: SG ($180,003 / 8,613 DL) || TH ($58,342 / 28,142 DL) || MY ($49,491 / 30,873 DL)",SG App Store Ranks: iOS (DL #87 / Rev #125) || Android (DL #48 / Rev #10),69a972123cbad61259070a72,,2026-07-21,2026-08-01,,,2026-08-04,mobile_led_cross_platform,16791,2381,https://store.steampowered.com/app/4282500/,unconfirmed,https://store.steampowered.com/app/4282500/
Strong Market Signal,Game-layer final report row.,34492.57,4684,unconfirmed unconfirmed,CookieRun: Crumble - Idle RPG,CookieRun: Crumble - Idle RPG,CookieRun: Crumble - Idle RPG,,,,,,,,mobile,Devsisters,2026-07-29,,"Top Mkts: TH ($92,298 / 43,120 DL) || SG ($34,493 / 4,684 DL) || ID ($14,646 / 9,065 DL)",SG App Store Ranks: iOS (DL #7 / Rev #15) || Android (DL #3 / Rev #21),6a41d8c2907e20afd94c5e13,,2026-07-21,2026-08-01,,,2026-08-04,mobile_only,,,,unconfirmed,unconfirmed
Strong Market Signal,Game-layer final report row.,14134.17,5083,unconfirmed unconfirmed,Blade Heroes: Mecha Soul,Blade Heroes: Mecha Soul,Blade Heroes: Mecha Soul,,,,,,,,mobile,Efun,2026-07-17,,"Top Mkts: TH ($43,241 / 47,985 DL) || SG ($14,134 / 5,083 DL) || MY ($4,157 / 15,074 DL)",SG App Store Ranks: iOS (DL #N/A / Rev #195) || Android (DL #25 / Rev #77),6a4b76a33ac802578231b11b,,2026-07-21,2026-08-01,,,2026-08-04,mobile_only,,,,unconfirmed,unconfirmed
Emerging Market Signal,Game-layer final report row.,1176.49,2723,unconfirmed unconfirmed,Lordrush,Lordrush,Lordrush,,,,,,,,mobile,Century Games,2026-06-16,,"Top Mkts: PH ($9,220 / 54,400 DL) || MY ($5,941 / 7,273 DL) || TH ($4,135 / 12,290 DL) || SG ($1,176 / 2,723 DL)",SG App Store Ranks: iOS (DL #106 / Rev #N/A) || Android (DL #78 / Rev #N/A),6a5d96bd0dab2da9cc66228f,,2026-07-21,2026-08-01,,,2026-08-04,mobile_only,,,,unconfirmed,unconfirmed
Strong Market Signal,Game-layer final report row.,0,0,unconfirmed unconfirmed,Pass the Fear,Pass the Fear,Pass the Fear,,,,,,,,PC,unconfirmed,2026-07-23,,,SG App Store Ranks: iOS (DL #NA / Rev #NA) || Android (DL #NA / Rev #NA),3561220,,,,,,2026-08-04,pc_only,26028,2181,https://store.steampowered.com/app/3561220/,https://store.steampowered.com/app/3561220/,https://store.steampowered.com/app/3561220/
Strong Market Signal,Game-layer final report row.,0,0,unconfirmed unconfirmed,Sephiria,Sephiria,Sephiria,,,,,,,,PC,unconfirmed,2026-07-31,,,SG App Store Ranks: iOS (DL #NA / Rev #NA) || Android (DL #NA / Rev #NA),2436940,,,,,,2026-08-04,pc_only,24720,6688,https://store.steampowered.com/app/2436940/,https://store.steampowered.com/app/2436940/,https://store.steampowered.com/app/2436940/
Strong Market Signal,Game-layer final report row.,0,0,unconfirmed unconfirmed,DragonSword : Awakening,DragonSword : Awakening,DragonSword : Awakening,,,,,,,,PC,unconfirmed,2026-07-23,,,SG App Store Ranks: iOS (DL #NA / Rev #NA) || Android (DL #NA / Rev #NA),4570720,,,,,,2026-08-04,pc_only,23030,7589,https://store.steampowered.com/app/4570720/,https://store.steampowered.com/app/4570720/,https://store.steampowered.com/app/4570720/
