Signal Type,Signal Definition,SG Gross Revenue,SG Downloads,Inclusion Reason,Game Title,English Display Title,Original Title,Detected Language,Machine English Title,Manual English Title,Translation Source,Translation Confidence,Translation Review Status,Translation Note,Platform,Publisher,Release Date,Genre,Top 3 Markets,SG App Store Ranks,unified_app_id,run_timestamp_utc,report_start_date,report_end_date,ranking_date,sensor_tower_effective_end_date
Strong Market Signal,"Clear SG commercial traction: SG gross revenue exceeded $1,000 during the release/report period.",21423.61,3748,"Stored weekly candidate with SG gross revenue > $1,000 during the report period",Star Sailors,Star Sailors,Star Sailors,en,Star Sailors,,unified_id_mapping,high,not_required,Mapped from local master title mapping.,iOS / Android,Com2uS Holdings,30-Jun-2026,Role Playing; Strategy,"Top Mkts: TH ($52,662 / 49,277 DL) || SG ($21,424 / 3,748 DL) || MY ($10,662 / 5,407 DL)",SG App Store Ranks: iOS (DL #133 / Rev #173) || Android (DL #128 / Rev #160),68d0aef41991c90375634e55,2026-07-21T01:12:47.136852+00:00,23-Jun-2026,13-Jul-2026,12-Jul-2026,12-Jul-2026
Strong Market Signal,"Clear SG commercial traction: SG gross revenue exceeded $1,000 during the release/report period.",8166,3269,Devsisters has brought another revival of its legacy IP while also preparing a broader mobile push.,CookieRun Classic,CookieRun Classic,CookieRun Classic,latin,CookieRun Classic,,already_latin,high,not_required,,Mobile,Devsisters,25-Jun-2026,Arcade,"Top Mkts: TH ($2,558,351 / 953,355 DL) || ID ($19,984 / 28,202 DL) || SG ($8,166 / 3,269 DL)",SG App Store Ranks: iOS (DL #NA / Rev #NA) || Android (DL #449 / Rev #NA),manual_cookierun_classic_20260625,2026-07-21T00:00:00+00:00,23-Jun-2026,13-Jul-2026,12-Jul-2026,12-Jul-2026
